Назва ,Отходы 1-4 класса опасности в т.,Обсяги викидів - т
 у % до 2018р.",33106.2
Одеська область,638797.6,20120.9
м.Одеса,390722.9,52.6
м.Балта,69.2,449.7
м.Білгород-Дністровський,10302.1,45.7
м.Біляївка,2.1,831.5
м.Ізмаїл,3729.9,1605.9
м.Чорноморськ,19166.8,394.6
м.Подільськ,154.3,48.5
м.Теплодар,4.1,1900.7
м.Южне,98704.5,315.8
Ананьївський,440.2,254
Арцизький,6617.6,18.7
Балтський,1141.9,164.5
Білгород-Дністровський,9012.9,151
Біляївський,2525.9,70.3
Березівський,1226,1150.3
Болградський,1378.9,239
Великомихайлівський,1027.5,24.2
Іванівський,1194.3,47.6
Ізмаїльський,2845.2,126.4
Кілійський,10429.4,123.8
Кодимський,91.4,3003.6
Лиманський,27768.4,0.1
Подільський,9.9,0.3
Окнянський,37.5,61.4
Любашівський,944.1,280.3
Миколаївський,–,273.9
Овідіопольський,35464.8,154.5
Роздільнянський,903.6,530.7
Ренійський,3469.2,83.3
Савранський,166.8,171.9
Саратський,49.6,202
Тарутинський,8395.6,118.5
Татарбунарський,250,–
Захарівський,426,90
Ширяївський,125,
