Назва,Обсяги викидів - т
Одеська область,33106.2
м.Одеса,20120.9
м.Балта,52.6
м.Білгород-Дністровський,449.7
м.Біляївка,45.7
м.Ізмаїл,831.5
м.Чорноморськ,1605.9
м.Подольськ,394.6
м.Теплодар,48.5
м.Южне,1900.7
Ананьївський,315.8
Арцизький,254
Балтський,18.7
Білгород-Дністровський,164.5
Біляївський,151
Березівський,70.3
Болградський,1150.3
Великомихайлівський,239
Іванівський,24.2
Ізмаїльський,47.6
Кілійський,126.4
Кодимський,123.8
Лиманський,3003.6
Подільський,0.1
Окнянський,0.3
Любашівський,61.4
Миколаївський,280.3
Овідіопольський,273.9
Роздільнянський,154.5
Ренійський,530.7
Савранський,83.3
Саратський,171.9
Тарутинський,202
Татарбунарський,118.5
Захарівський,–
Ширяївський,90
